BHK,Location,Size(sq.ft),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For
1,Koti Hosahalli,600,80000,8000,Semi Furnished,1-3 years ,Family
2,Marathalli,983,150000,20000,Full Furnished,5-10 years ,All
3,Neeladri Nagar,1607,150000,30000,Full Furnished,5-10 years ,All
1,Munnekollal,900,30000,9500,Semi Furnished,5-10 years ,All
1,Jp Nagar,600,30000,4800,UnFurnished,>10 years ,Family
1,Munnekollala,550,50000,12000,Semi Furnished,3-5 years ,All
2,Electronic City,1093,50000,14500,Semi Furnished,5-10 years ,Family
1,Ganganagar,400,500000,https://images.nobroker.in/images/ff80818168e18ace0168e27a6c3609b9/ff80818168e18ace0168e27a6c3609b9_16776_medium.jpg,UnFurnished,1-3 years ,Family
2,Mathikere,800,100000,10000,Semi Furnished,>10 years ,All
4,Thanisandra,4000,400000,50000,Semi Furnished,Newly Constructed,All
2,Yelahanka New Town,1100,120000,15000,Semi Furnished,1-3 years ,Family
2,Doddanekundi,1269,75000,21000,Semi Furnished,5-10 years ,Family
2,Banashankari,800,100000,13500,Semi Furnished,1-3 years ,Family
1,Banashankari,400,50000,6500,Semi Furnished,Newly Constructed,All
3,Krishnarajapura,1304,140000,22000,Semi Furnished,Newly Constructed,All
1,Behind Vms Apartment,225,25000,4500,Semi Furnished,Newly Constructed,All
2,Yelahanka,1100,120000,15000,Semi Furnished,3-5 years ,Family
2,Ksrtc Layout,1200,125000,16000,Semi Furnished,>10 years ,Family
2,Rr Nagar,550,120000,12000,Semi Furnished,3-5 years ,Bachelors
2,Cottonpete,1050,400000,17000,Semi Furnished,Newly Constructed,All
2,Cottonpete,1050,400000,17000,Semi Furnished,Newly Constructed,All
2,Ramamurthy Nagar,450,70000,12000,Semi Furnished,1-3 years ,Family
2,Chikkalasandra,1000,100000,12000,Semi Furnished,>10 years ,All
2,Ulsoor,1300,200000,33000,Full Furnished,3-5 years ,Family
1,(opp Gospel Intl School),1200,40000,4000,UnFurnished,1-3 years ,Bachelors
2,Hsr Layout,1200,200000,33000,Semi Furnished,1-3 years ,Family
2,Vishweshwarapura,800,250000,25000,Semi Furnished,5-10 years ,All
2,K R Puram,960,100000,14500,Semi Furnished,5-10 years ,Family
1,Indira Nagar,400,850000,https://images.nobroker.in/images/8a9f92d47426517e01742994636b4445/8a9f92d47426517e01742994636b4445_73296_73984_medium.jpg,Semi Furnished,Newly Constructed,Family
2,Ejipura,1000,100000,24000,Full Furnished,1-3 years ,Family
1,Battarahalli,800,40000,7500,Semi Furnished,Newly Constructed,Family
1,Peenya,300,40000,5000,UnFurnished,5-10 years ,All
1,Ramamurthy Nagar,500,60000,9500,Semi Furnished,1-3 years ,Family
2,Mahadevapura,600,750000,7500,Semi Furnished,1-3 years ,Family
1,Mahadevapura,300,30000,4500,UnFurnished,3-5 years ,Bachelors
1,Basaveshwar Nagar,200,15000,2000,UnFurnished,>10 years ,Bachelors
1,Marathahalli,300,50000,10000,UnFurnished,3-5 years ,All
2,Hebbal,600,100000,11000,Semi Furnished,1-3 years ,All
3,Btr Gardens Layout,2000,190000,19500,Semi Furnished,>10 years ,Family
2,Rayasandra,914,180000,18000,UnFurnished,Newly Constructed,All
2,Btm Layout,500,50000,15000,Semi Furnished,5-10 years ,Family
1,Bommanahalli,1000,60000,16000,Semi Furnished,3-5 years ,Family
3,Jayanagar,1000,270000,27000,Semi Furnished,>10 years ,All
1,Btm Layout,150,25000,6500,UnFurnished,Newly Constructed,Bachelors
2,Carmelaram,1220,100000,18000,Semi Furnished,Newly Constructed,All
2,Balagere,800,200000,30000,Full Furnished,Newly Constructed,All
2,Kaggadasapura,1070,75000,16000,Semi Furnished,5-10 years ,Family
2,Tavarekere,620,200000,18000,Semi Furnished,Newly Constructed,Family
2,Harlur,1120,120000,15000,Semi Furnished,3-5 years ,All
1,,400,70000,7000,Semi Furnished,>10 years ,Family
1,,400,70000,7000,Semi Furnished,>10 years ,Family
2,Doddathoguru,1055,200000,20000,Semi Furnished,1-3 years ,Family
2,Bhuvaneswari Nagar,1200,150000,20000,Semi Furnished,5-10 years ,All
3,Btm 2nd Stage,1550,200000,32000,Semi Furnished,1-3 years ,All
2,Krishnarajapura,1200,50000,14000,Semi Furnished,3-5 years ,All
2,Vyalikaval,600,140000,14000,UnFurnished,5-10 years ,All
2,Sampangiram Nagar,410,150000,14000,Semi Furnished,>10 years ,Family
2,Domlur,650,100000,16000,Semi Furnished,>10 years ,All
2,Gunjur Palya,900,50000,12999,Semi Furnished,Newly Constructed,Family
3,Kengeri,1500,50000,18000,Semi Furnished,1-3 years ,Family
1,Hebbal,400,70000,7000,Semi Furnished,Newly Constructed,All
1,Btm 2nd Stage,650,50000,11500,Semi Furnished,1-3 years ,All
1,Pulikeshi Nagar,500,150000,12000,Semi Furnished,5-10 years ,Family
2,Mahadevapura,700,70000,13000,Semi Furnished,5-10 years ,All
1,Sorahunase,350,30000,6500,Semi Furnished,3-5 years ,Family
2,Hennur Gardens,870,150000,18000,Semi Furnished,>10 years ,All
2,Whitefield,1500,50000,12000,Semi Furnished,5-10 years ,All
1,Krishnarajapura,500,25000,5500,UnFurnished,3-5 years ,Family
2,Kengeri Satellite Town,1000,100000,7500,Semi Furnished,>10 years ,All
2,Mahadevapura,1100,100000,23000,Semi Furnished,5-10 years ,All
1,Ulsoor,450,80000,10000,Semi Furnished,5-10 years ,All
3,Subramanyapura,1700,200000,27000,Semi Furnished,1-3 years ,Family
2,Indiranagar,1000,150000,24000,Semi Furnished,>10 years ,Family
1,Kasavanahalli,600,75000,10000,Semi Furnished,1-3 years ,Family
2,Rr Nagar,1110,250000,25000,Full Furnished,5-10 years ,Company
1,Nagashettyhalli,800,600000,https://images.nobroker.in/images/8a9fab8276f6b4b20176f6c3def103df/8a9fab8276f6b4b20176f6c3def103df_19669_91593_medium.jpg,UnFurnished,5-10 years ,All
3,Sabari Nagar,1700,230000,23000,Semi Furnished,Newly Constructed,Family
2,Haralur,900,90000,20000,Full Furnished,3-5 years ,All
2,Peenya,650,50000,8000,Semi Furnished,5-10 years ,All
2,Kasavanahalli,1000,100000,18000,Semi Furnished,3-5 years ,Family
1,Btm Layout,1500,50000,9000,Semi Furnished,Newly Constructed,All
2,Krishnarajapuram,979,100000,26000,Full Furnished,1-3 years ,All
1,Kaveri Nagar,600,50000,8000,Semi Furnished,3-5 years ,All
2,Doddanekkundi,1148,100000,22000,Full Furnished,>10 years ,All
2,Chikkakannalli,1200,50000,14000,Full Furnished,Newly Constructed,Family
2,Rustam Bagh Layout,1200,100000,21000,Semi Furnished,>10 years ,Family
2,Marathahalli,800,50000,14000,Full Furnished,Newly Constructed,Family
2,Jeevan Bima Nagar,1200,175000,37000,Full Furnished,5-10 years ,All
1,Kathreguppe,600,60000,6000,Semi Furnished,3-5 years ,All
2,Whitefield,800,30000,9000,UnFurnished,>10 years ,Family
1,Kathreguppe,600,60000,6000,Semi Furnished,3-5 years ,All
2,Whitefield,800,30000,9000,UnFurnished,>10 years ,Family
2,Arkavathy Layout,600,80000,10000,Semi Furnished,Newly Constructed,All
1,Kammanahalli,300,30000,6500,Semi Furnished,>10 years ,All
2,Kammanahalli,1100,150000,18000,Semi Furnished,>10 years ,Family
2,Peenya,800,75000,9500,Semi Furnished,5-10 years ,All
2,Someshwara Nagar,1200,100000,12000,Semi Furnished,3-5 years ,All
2,Vijayanagar,950,180000,18000,UnFurnished,5-10 years ,Family
2,Banashankari,1200,160000,16000,Semi Furnished,5-10 years ,Family
2,Haralur,1200,150000,20000,Semi Furnished,1-3 years ,Family
2,Jyothi Nagar,900,75000,14000,UnFurnished,Newly Constructed,All
3,Arekere,1400,100000,20000,Semi Furnished,5-10 years ,Family
2,Chokkanahalli,1356,100000,21000,Semi Furnished,3-5 years ,All
2,Rajaji Nagar,750,200000,20000,UnFurnished,5-10 years ,All
1,Begur,500,30000,6200,Semi Furnished,>10 years ,All
3,Whitefield,1600,150000,30000,Full Furnished,5-10 years ,All
1,Jalahalli,450,40000,4700,UnFurnished,Newly Constructed,All
2,,1000,100000,11500,Semi Furnished,>10 years ,All
1,Kalyan Nagar,450,90000,8913,Semi Furnished,1-3 years ,All
2,Gunjur,1145,100000,19000,Semi Furnished,Newly Constructed,All
2,Ejipura,930,100000,20000,Semi Furnished,Under Construction,All
1,Jayanagar,600,150000,15000,Semi Furnished,1-3 years ,Family
1,Murgesh Pallya,500,40000,10000,Semi Furnished,3-5 years ,All
2,Banashankari,700,150000,15000,Semi Furnished,3-5 years ,All
1,S.g. Palya,350,30000,10000,Semi Furnished,Newly Constructed,All
2,Mahadevapura,1000,800000,https://images.nobroker.in/images/ff8081816ef418ba016ef435b8501eb9/ff8081816ef418ba016ef435b8501eb9_83334_40076_medium.jpg,Semi Furnished,1-3 years ,All
2,Rajaji Nagar,650,200000,16000,UnFurnished,>10 years ,Family
1,Koramangala,400,50000,10000,Semi Furnished,5-10 years ,All
2,Koti Hosahalli,1200,1500000,https://images.nobroker.in/images/ff8081816ddd9c06016ddebc915f2e0c/ff8081816ddd9c06016ddebc915f2e0c_94578_58935_medium.jpg,Semi Furnished,>10 years ,Family
2,Sahakar Nagar,1200,200000,20000,Full Furnished,5-10 years ,All
2,Sahakar Nagar,1200,200000,20000,Full Furnished,5-10 years ,All
2,Seshadripuram,1050,320000,30000,Semi Furnished,1-3 years ,Family
2,Murugesh Palya,1000,70000,18000,Semi Furnished,5-10 years ,All
3,Sanjaynagar,1200,125000,30000,Semi Furnished,3-5 years ,Family
2,Bellandur,1164,120000,30000,Full Furnished,3-5 years ,Family
2,Btm Layout,750,80000,14000,Semi Furnished,1-3 years ,Family
2,Attiguppe,1200,150000,16500,Semi Furnished,>10 years ,Family
1,Hsr Layout 5th Sector,650,35000,8000,Semi Furnished,>10 years ,All
1,J. P. Nagar,400,50000,7500,Semi Furnished,1-3 years ,Family
1,Jalahalli West,550,50000,5000,Semi Furnished,1-3 years ,Family
1,Cox Town,600,100000,10000,Semi Furnished,>10 years ,Bachelors
1,Whitefield,500,40000,13500,Semi Furnished,Newly Constructed,All
2,Krishnarajapura,650,70000,10000,Semi Furnished,Newly Constructed,All
2,Chansandra,1200,100000,15000,Semi Furnished,1-3 years ,All
3,Brookefield,1530,200000,28000,Semi Furnished,3-5 years ,Family
2,Munnekollal,1350,50000,18000,Semi Furnished,3-5 years ,All
3,Nagarabhavi,1200,75000,12000,Semi Furnished,Newly Constructed,Family
2,Tunganagara,800,70000,6000,Semi Furnished,5-10 years ,Family
1,Adugodi,500,50000,13500,Semi Furnished,5-10 years ,All
1,Brookefield,200,30000,8000,Full Furnished,5-10 years ,All
2,New Thippasandra,650,65000,16000,Semi Furnished,5-10 years ,All
2,Munnekollal,1350,50000,18000,Semi Furnished,3-5 years ,Family
2,Bommanahalli,800,50000,15000,Semi Furnished,5-10 years ,All
1,Koramangala,500,20000,7500,Semi Furnished,>10 years ,All
2,Hebbal,984,100000,14000,Semi Furnished,5-10 years ,Family
3,Hulimavu,1725,200000,23000,Semi Furnished,5-10 years ,Family
2,Whitefield,950,35000,17000,Full Furnished,1-3 years ,All
2,Nagondanahalli,1175,100000,17000,Semi Furnished,3-5 years ,Family
2,Whitefield,900,100000,18000,Semi Furnished,1-3 years ,All
1,Jp Nagar,700,80000,8000,Semi Furnished,1-3 years ,Family
2,,700,150000,15000,Semi Furnished,5-10 years ,Family
2,B Narayanapura,1100,75000,16500,Semi Furnished,5-10 years ,Family
1,Kaiser Academy,350,30000,4500,UnFurnished,5-10 years ,All
3,Bellandur,1800,300000,42000,Full Furnished,5-10 years ,Family
1,Sunkadakatte,550,60000,6000,UnFurnished,Newly Constructed,Family
3,Yelahanka,2000,250000,33000,Semi Furnished,5-10 years ,Family
1,Hsr Layout,450,50000,8500,Semi Furnished,3-5 years ,All
2,Btm Layout,600,30000,11000,Semi Furnished,1-3 years ,All
2,Hennur Gardens,1200,60000,13000,Semi Furnished,1-3 years ,All
1,Whitefield,500,20000,7000,UnFurnished,>10 years ,Family
1,Whitefield,500,20000,7000,UnFurnished,>10 years ,Family
1,Kalyan Nagar,400,50000,7500,Semi Furnished,5-10 years ,All
2,Kaikondrahalli,1160,100000,22500,Semi Furnished,3-5 years ,Family
1,Hsr Layout,500,60000,15000,UnFurnished,>10 years ,All
2,Krishnarajapura,1400,100000,15000,Semi Furnished,5-10 years ,All
1,Banashankari 3rd Stage,600,65000,10400,Semi Furnished,1-3 years ,Family
2,Ejipura,750,100000,17000,Semi Furnished,5-10 years ,Family
3,Hoodi,1700,200000,30500,Semi Furnished,5-10 years ,Family
1,Nagondanahalli,658,300000,https://images.nobroker.in/images/ff8081816f21d2fe016f21d844e2030f/ff8081816f21d2fe016f21d844e2030f_32415_82405_medium.jpg,Semi Furnished,Newly Constructed,Family
2,Binnipete,1519,290000,29000,Full Furnished,5-10 years ,All
3,Bellandur,1670,170000,33000,Full Furnished,5-10 years ,All
2,Indiranagar,1250,250000,40000,Semi Furnished,>10 years ,Family
3,Horamavu,1350,250000,25000,Semi Furnished,Newly Constructed,Family
1,Marathahalli,600,60000,15000,Semi Furnished,3-5 years ,All
1,bengaluru,450,75000,8000,Semi Furnished,1-3 years ,Family
2,Whitefield,850,60000,17000,Semi Furnished,1-3 years ,Family
1,Murgesh Pallya,250,50000,8000,Semi Furnished,1-3 years ,All
2,Cv Raman Nagar,1000,200000,24000,Full Furnished,Newly Constructed,Family
2,Dodda Banaswadi,1000,50000,11000,UnFurnished,1-3 years ,All
1,Hebbal,400,80000,8000,UnFurnished,1-3 years ,All
1,Hebbal,400,80000,8000,UnFurnished,1-3 years ,All
2,Choodasandra,1100,50000,12000,Semi Furnished,3-5 years ,All
2,Hebbal,1050,100000,14000,Semi Furnished,1-3 years ,All
3,Whitefiled,1762,125000,32000,Semi Furnished,1-3 years ,All
3,Krishnarajapura,1609,200000,36000,Semi Furnished,Newly Constructed,Family
2,Kasavanahalli,750,70000,14000,Semi Furnished,1-3 years ,All
2,Whitefield,1130,100000,17500,Semi Furnished,3-5 years ,Family
3,Gottigere Bennarghatt Road,1600,200000,21000,Semi Furnished,5-10 years ,All
2,Munnekollal,900,80000,16000,Semi Furnished,>10 years ,Family
1,Vijaya Nagar,600,30000,5000,UnFurnished,>10 years ,Family
2,Munnekollal,900,80000,16000,Semi Furnished,>10 years ,Family
1,Vijaya Nagar,600,30000,5000,UnFurnished,>10 years ,Family
2,Marathahalli,1170,100000,22000,Semi Furnished,5-10 years ,Family
1,Hongasandra,500,400000,https://images.nobroker.in/images/ff808181609db6d80160a08ae2be3008/ff808181609db6d80160a08ae2be3008_58143_medium.jpg,UnFurnished,>10 years ,All
2,Nandini Layout,1200,160000,17000,Semi Furnished,3-5 years ,Family
2,1st Cross Road,1200,50000,15000,Semi Furnished,Under Construction,Family
2,Kasturi Nagar,1200,100000,16000,Semi Furnished,5-10 years ,Family
2,Infantry Road,960,250000,25000,Semi Furnished,>10 years ,Family
1,J. P. Nagar,600,50000,9000,Semi Furnished,5-10 years ,All
1,Dombarahalli,600,250000,https://images.nobroker.in/images/8a9fa08276eb1e860176ebbf787b3f34/8a9fa08276eb1e860176ebbf787b3f34_32953_91427_medium.jpg,UnFurnished,Newly Constructed,All
3,Marathahalli,1800,300000,40000,Semi Furnished,Newly Constructed,Family
1,Yelahanka,500,50000,8500,Semi Furnished,1-3 years ,Family
1,Kurubarahalli,500,600000,https://images.nobroker.in/images/8a9f9267731830be017324aaf1d778ed/8a9f9267731830be017324aaf1d778ed_9095_63688_medium.jpg,Semi Furnished,3-5 years ,Family
1,Hongasandra,450,30000,8000,Semi Furnished,1-3 years ,All
2,Tejaswini Nagar,980,100000,15000,Semi Furnished,3-5 years ,Family
1,Begur,500,50000,7500,UnFurnished,3-5 years ,Family
3,Subramanyapura,1745,150000,26000,Semi Furnished,5-10 years ,All
1,Chamarajpet,500,125000,12000,Semi Furnished,1-3 years ,All
2,Electronic City,1050,60000,15000,Semi Furnished,Newly Constructed,All
2,Begur,700,80000,11500,UnFurnished,5-10 years ,Family
3,Akshayanagar,1410,250000,25000,Semi Furnished,3-5 years ,Family
2,Uttarahalli Hobli,1000,165000,15000,Full Furnished,3-5 years ,All
2,Vimanapura,1200,50000,11500,Semi Furnished,1-3 years ,Family
1,Madhura Nagar,550,30000,6900,UnFurnished,Under Construction,Family
3,Iblur Village,1697,350000,45000,Full Furnished,5-10 years ,Family
2,Malleshwaram,750,160000,15500,Semi Furnished,5-10 years ,Family
1,Rr Nagar,700,80000,8000,Semi Furnished,3-5 years ,Family
2,Begur,1200,100000,15000,Semi Furnished,1-3 years ,Family
3,Bellandur,1700,200000,41500,Semi Furnished,3-5 years ,All
2,Kadugodi,1422,100000,20000,Semi Furnished,3-5 years ,All
3,Whitefield,1536,150000,28000,Semi Furnished,5-10 years ,All
4,Central Telecom Society,2147,100000,17000,Semi Furnished,3-5 years ,Family
2,Mallasandra,800,75000,7500,Semi Furnished,Newly Constructed,Family
1,Nagawara,525,70000,7000,UnFurnished,5-10 years ,Family
2,Mallasandra,1100,100000,15000,Semi Furnished,Newly Constructed,Family
3,Raghavendra Stores,1650,150000,15000,Semi Furnished,1-3 years ,Family
1,Begur,600,50000,8000,Semi Furnished,3-5 years ,Family
2,Sunkadakatte,800,500000,https://images.nobroker.in/images/ff8081816e96b2c5016ea10a6825522a/ff8081816e96b2c5016ea10a6825522a_51712_63982_medium.jpg,UnFurnished,Newly Constructed,All
1,Kasavanahalli,550,45000,9000,Semi Furnished,Newly Constructed,Family
2,Hsr Layout,1000,100000,20000,Semi Furnished,>10 years ,All
1,S.g. Palya,250,30000,6500,Semi Furnished,>10 years ,All
1,Bellahalli,670,93500,8500,Semi Furnished,Newly Constructed,Family
1,Vijaya Nagar,600,1000000,https://images.nobroker.in/images/8a9fad8276dcf4c90176dd94fce92eb6/8a9fad8276dcf4c90176dd94fce92eb6_70332_50803_medium.jpg,UnFurnished,5-10 years ,All
3,Brookefield,1724,300000,35000,Semi Furnished,Newly Constructed,Family
1,Ejipura,500,40000,10500,Semi Furnished,3-5 years ,All
1,Nagapura,600,100000,10000,UnFurnished,1-3 years ,All
2,Old Airport Road,1200,100000,23000,Semi Furnished,5-10 years ,All
2,Chikkabellandur,1050,150000,23000,Semi Furnished,1-3 years ,All
1,Anchepalya,600,25000,6000,UnFurnished,3-5 years ,Family
1,Brookefield,800,60000,15000,Semi Furnished,5-10 years ,All
2,Btm Layout,1000,50000,18000,Semi Furnished,>10 years ,Family
2,Nava Nivas Apartment,980,100000,18000,Full Furnished,1-3 years ,All
2,Bilekahalli,1200,200000,20000,Semi Furnished,5-10 years ,Family
1,Smv Layout,300,35000,4500,Full Furnished,1-3 years ,All
2,Sunkadakatte,800,50000,8000,UnFurnished,Newly Constructed,Family
2,Marathahalli,958,100000,19000,Semi Furnished,5-10 years ,Family
2,Banashankari,850,100000,11000,Semi Furnished,3-5 years ,All
1,Doddanekkundi,200,20000,6000,UnFurnished,5-10 years ,Bachelors
3,Dooravani Nagar,1435,80000,16000,Semi Furnished,>10 years ,Family
1,Vidyaranyapura,240,70000,7000,UnFurnished,Newly Constructed,All
3,Dooravani Nagar,1435,80000,16000,Semi Furnished,>10 years ,Family
1,Vidyaranyapura,240,70000,7000,UnFurnished,Newly Constructed,All
1,Murgesh Pallya,700,60000,10000,Semi Furnished,>10 years ,All
2,,1000,150000,18000,Semi Furnished,Newly Constructed,Family
2,Sheshadripuram,1000,250000,22000,Semi Furnished,>10 years ,All
2,Kaikondrahalli,1200,200000,30000,Semi Furnished,Newly Constructed,All
1,Yelahanka Old Town,800,50000,5500,UnFurnished,5-10 years ,All
1,Kasavanahalli,600,50000,11500,Semi Furnished,Under Construction,All
2,Jnananjyothinagar,700,100000,11500,Semi Furnished,5-10 years ,Family
1,Marathahalli,250,10000,6500,Semi Furnished,Newly Constructed,Bachelors
1,Marathahalli,250,10000,6500,Semi Furnished,Newly Constructed,Bachelors
2,Gunjur Palya,1200,50000,15000,Semi Furnished,Newly Constructed,All
1,Chansandra,600,40000,8500,Semi Furnished,1-3 years ,Family
3,Devarachikkana Halli,1370,230000,23000,Semi Furnished,Newly Constructed,Family
1,Kalkere,400,35000,6800,Semi Furnished,1-3 years ,All
1,Marathahalli,450,35000,8500,Semi Furnished,5-10 years ,Family
3,Mahalakshmipuram,1600,300000,28000,Semi Furnished,>10 years ,Family
2,Yemalur,1000,50000,11000,Semi Furnished,3-5 years ,All
2,Banashankari,1373,150000,26000,Semi Furnished,5-10 years ,All
2,Chikkabellandur,950,65000,18000,Semi Furnished,Newly Constructed,All
1,Thyagarajanagara,450,30000,4200,Semi Furnished,>10 years ,All
1,Vyalikaval,200,50000,10500,Full Furnished,5-10 years ,All
1,Vyalikaval Police Station Bus Stop,160,50000,12000,Full Furnished,5-10 years ,All
1,Chikkabellandur,550,50000,14000,Semi Furnished,Newly Constructed,All
1,Begur,600,50000,7500,Semi Furnished,5-10 years ,Family
1,Yemalur,550,40000,8500,Semi Furnished,3-5 years ,All
2,Krishnarajapura,1000,40000,8000,Semi Furnished,5-10 years ,Family
2,Hampi Nagar,850,120000,15000,Semi Furnished,>10 years ,Family
2,Mahadevapura,1290,200000,29000,Semi Furnished,5-10 years ,Family
2,Chikkabanavara,800,100000,8500,Semi Furnished,Newly Constructed,All
2,Chikkabanavara,800,100000,8500,Semi Furnished,Newly Constructed,All
3,Begur,1200,120000,12000,Semi Furnished,1-3 years ,Family
2,Hsr Layout,700,200000,18000,Semi Furnished,5-10 years ,All
2,Krishnarajapura,600,100000,10000,Semi Furnished,Newly Constructed,Family
2,Kalyan Nagar,700,80000,12000,Semi Furnished,5-10 years ,All
1,Kumbena Agrahara,400,50000,7500,UnFurnished,1-3 years ,Bachelors
2,Btm Layout,900,40000,10750,Semi Furnished,3-5 years ,All
2,Hebbal Kempapura,1100,100000,15000,Semi Furnished,5-10 years ,Family
2,Doddanekkundi,1312,100000,22000,Semi Furnished,5-10 years ,All
1,Malleshwaram,850,100000,13650,Semi Furnished,>10 years ,All
2,Uttarahalli Hobli,1125,100000,16000,Semi Furnished,5-10 years ,All
2,Yelahanka,850,70000,13000,Semi Furnished,3-5 years ,All
1,Krishnarajapura,1295,60000,11000,Semi Furnished,Newly Constructed,All
1,Indira Nagar,600,50000,15000,UnFurnished,5-10 years ,Bachelors
2,Hongasandra,1100,40000,8000,UnFurnished,Newly Constructed,Family
3,Kadugodi,1400,125000,21000,Semi Furnished,3-5 years ,Family
3,Bharthinagar Police Station,1200,200000,22000,UnFurnished,5-10 years ,Family
1,Banashankari,100,15000,3000,Full Furnished,Newly Constructed,Bachelors
1,Hongasandra,600,50000,8000,Semi Furnished,3-5 years ,Family
2,Hoodi,1090,100000,20000,Semi Furnished,3-5 years ,Family
1,Doddakallasandra,300,25000,6000,Semi Furnished,1-3 years ,Bachelors
2,Avalahalli,900,70000,14000,Semi Furnished,5-10 years ,Family
2,Btm Layout,1200,100000,20000,Semi Furnished,3-5 years ,Family
2,Kaggadasapura,1101,100000,19000,Semi Furnished,5-10 years ,Family
2,Arekere,800,125000,12500,UnFurnished,5-10 years ,Family
2,Kaggadasapura,700,40000,8000,Semi Furnished,Newly Constructed,Family
1,T. Dasarahalli,550,40000,4500,UnFurnished,1-3 years ,All
1,Munnekollal,600,30000,12000,Semi Furnished,3-5 years ,All
2,Kasavanahalli,650,200000,18000,Semi Furnished,1-3 years ,All
2,Doddabommasandra,1500,100000,10000,Semi Furnished,1-3 years ,All
2,Doddabommasandra,1500,100000,10000,Semi Furnished,1-3 years ,All
2,New Tippasandra,1350,300000,40000,Full Furnished,5-10 years ,All
1,Srinagar,300,30000,3500,UnFurnished,1-3 years ,Family
2,Anchepalya,600,600000,https://images.nobroker.in/images/8a9f914a7304830e0173050b5eae3fca/8a9f914a7304830e0173050b5eae3fca_70041_28388_medium.jpg,UnFurnished,Newly Constructed,All
1,Vasanth Nagar,500,100000,12000,UnFurnished,5-10 years ,Family
2,Dooravani Nagar,600,50000,10000,Semi Furnished,Newly Constructed,All
1,Doddathoguru,400,35000,9000,Semi Furnished,1-3 years ,All
1,Marathahalli,600,30000,9000,Semi Furnished,5-10 years ,Bachelors
1,Bedarahalli,400,40000,6000,UnFurnished,5-10 years ,Family
1,Kasturi Nagar,500,50000,12000,Semi Furnished,1-3 years ,All
2,Begur,900,120000,12000,Semi Furnished,5-10 years ,Family
1,Begur,300,20000,5000,Semi Furnished,Newly Constructed,All
3,Konanakunte,1603,360000,36000,Semi Furnished,Newly Constructed,Family
1,Munnekolala Marathahalli,750,25000,8500,Full Furnished,3-5 years ,All
1,Electronic City,500,15000,5000,Semi Furnished,Newly Constructed,All
2,Hongasandra,1100,150000,15000,Semi Furnished,3-5 years ,All
2,Kasavanahalli,977,100000,22500,Semi Furnished,3-5 years ,All
2,Indira Nagar,1200,100000,22000,Semi Furnished,5-10 years ,All
1,C V Raman Nagar,700,50000,10500,Semi Furnished,3-5 years ,Family
1,Begur,350,30000,8500,Semi Furnished,Newly Constructed,All
1,Begur,350,30000,8500,Semi Furnished,Newly Constructed,All
1,Thanisandra,120,10000,4000,UnFurnished,1-3 years ,All
1,Soundarya Layout,500,50000,5000,Full Furnished,1-3 years ,Family
2,Varthur,1180,80000,19000,Full Furnished,3-5 years ,All
2,Near Trishul Educational Centre,600,650000,5000,UnFurnished,3-5 years ,Family
3,K R Puram Bus Stop,1400,200000,22000,Semi Furnished,Newly Constructed,Family
2,Bommanahalli,1175,100000,18800,Semi Furnished,>10 years ,All
1,Honnaganahatti,400,60000,6000,Semi Furnished,1-3 years ,All
2,Btm Layout 4th Stage,800,75000,14000,Semi Furnished,1-3 years ,All
2,Whitefield,795,100000,17500,Semi Furnished,1-3 years ,Family
2,Whitefield,795,100000,17500,Semi Furnished,1-3 years ,Family
2,Bommanahalli,800,700000,https://images.nobroker.in/images/ff8081816b6a67e5016b6a98a185175b/ff8081816b6a67e5016b6a98a185175b_69442_medium.jpg,Semi Furnished,3-5 years ,All
1,Btm 2nd Stage,450,60000,14000,Semi Furnished,5-10 years ,All
3,Kaggadasapura,1400,350000,35000,Semi Furnished,3-5 years ,Company
2,Bannerghatta,1000,80000,15000,Semi Furnished,1-3 years ,Family
1,Mahadevapura,550,40000,7000,Semi Furnished,1-3 years ,All
1,Hongasandra,550,45000,7500,Semi Furnished,Newly Constructed,All
1,Ganganagar,1000,90000,9000,UnFurnished,>10 years ,All
1,Hsr Layout,500,60000,10000,Semi Furnished,5-10 years ,All
3,Vyalikaval,1150,2500000,https://images.nobroker.in/images/8a9fa88276f60f6a0176f62e79580a41/8a9fa88276f60f6a0176f62e79580a41_71066_3472_medium.jpg,Semi Furnished,3-5 years ,Family
1,Hsr Layout,500,60000,10000,Semi Furnished,5-10 years ,All
3,Vyalikaval,1150,2500000,https://images.nobroker.in/images/8a9fa88276f60f6a0176f62e79580a41/8a9fa88276f60f6a0176f62e79580a41_71066_3472_medium.jpg,Semi Furnished,3-5 years ,Family
1,Lingarajapuram,580,50000,5000,UnFurnished,>10 years ,All
3,Kalena Agrahara,1808,200000,34000,Semi Furnished,5-10 years ,All
2,St Thomas Town,1100,150000,20000,Semi Furnished,>10 years ,All
1,Hongasandra,450,30000,5500,Semi Furnished,3-5 years ,All
1,Ramamurthy Nagar,700,40000,8500,Semi Furnished,1-3 years ,Family
2,Brookefield,500,50000,17000,Semi Furnished,5-10 years ,All
2,Vijaya Nagar,1200,150000,20000,Semi Furnished,5-10 years ,Family
1,Jp Nagar Phase 6,600,95000,9500,Semi Furnished,3-5 years ,Family
1,Eco Life Elements Of Nature,651,100000,18000,Full Furnished,1-3 years ,All
2,Btm Layout,1245,200000,25000,Full Furnished,3-5 years ,All
